symbol	probe	t	pval	logFC	p_adj
6319	10023817709	-6.875950737282135	2.926903535603318e-11	-0.1165564892617957	7.748265998011747e-11
5533	10025910443	6.855641875593633	2.9499762992650766e-11	0.0305924262221606	7.80724087286971e-11
55024	10023822775	6.813622267266807	2.9866510233678915e-11	0.0430943586960544	7.902704762404229e-11
121512	10025913337	6.835874080603109	2.998004521008638e-11	0.0586680898050585	7.930609306028642e-11
5000	10025906628	-6.8378589986079	3.003198889030489e-11	-0.0483986095747174	7.943814973812633e-11
256006	10023808618	-6.814567452534008	3.01405256912012e-11	-0.039928641507429	7.971987402534395e-11
56983	10025912998	6.877397967472752	3.0214639264085186e-11	0.0392117103148325	7.989975968044067e-11
285231	10023843010	-6.824020159234705	3.0228338738381e-11	-0.0541454740268276	7.993060556335279e-11
51806	10023816793	6.957627768831864	3.040689310949767e-11	0.062303013565647	8.039733180809561e-11
79066	10025904184	6.82102269826532	3.046784301328953e-11	0.0222668385903205	8.05476425872939e-11
55001	10025908976	-6.919327352805055	3.071350795456128e-11	-0.0374645210038849	8.118617715041502e-11
10282	10023821185	-6.836965422933202	3.0743562273862e-11	-0.0985743521303451	8.126015248753781e-11
342994	10023843121	6.903645171150759	3.1394437205008433e-11	0.0375094350264906	8.297493563536072e-11
843	10023805211	6.809391606675192	3.167771124350918e-11	0.0582099028221162	8.37010963033123e-11
6047	10025906975	-6.87959447013766	3.182222204406874e-11	-0.0352790557986689	8.407727731829019e-11
23523	10025904526	6.880741919454705	3.203549165395339e-11	0.0723219760538319	8.462937064814641e-11
83893	10025903447	6.80830702696917	3.221970210050065e-11	0.0485182720800225	8.510455910884712e-11
10443	10025908672	-6.831704152399186	3.2258090820564237e-11	-0.1073262067237413	8.520022911725143e-11
125965	10025911050	6.827020626311185	3.256870216382683e-11	0.0499114426606328	8.600326863832725e-11
2520	10023807031	6.841196554589844	3.259727334423597e-11	0.0744409088491884	8.607292934670535e-11
283229	10025908355	6.823093742458358	3.266092173900426e-11	0.0606408890056215	8.622939950988623e-11
284395	10025924509	-6.831345340850597	3.273438926064757e-11	-0.0760750711707725	8.641174799450515e-11
388611	10023847660	-6.835988920996813	3.3178754688025866e-11	-0.0259975304341627	8.75730065949238e-11
54873	10023805296	6.794997288465556	3.335272173550737e-11	0.0766349854155385	8.802626552245714e-11
23415	10025906345	-6.929592025189523	3.3823046754419453e-11	-0.0571925908719778	8.924958192352521e-11
140609	10025907298	6.792210713761313	3.3979388097315386e-11	0.0584727123421655	8.96500782148407e-11
9150	10025909279	6.870899492333845	3.405406474360557e-11	0.037446388869737	8.983503446130468e-11
84075	10025908123	6.857168256061388	3.426486831302135e-11	0.0403720412952484	9.038506663994888e-11
57048	10023818509	6.81172850320285	3.439633493560414e-11	0.0424455808687692	9.070748816854856e-11
125981	10025911053	6.838148865447157	3.4591769863359574e-11	0.0352134027956872	9.121062765877452e-11
389174	10025928961	6.821828670013989	3.4877851886040594e-11	0.031175313207068	9.195878789660856e-11
84698	10025906591	-6.839998885101434	3.5430284319834195e-11	-0.0757090064411855	9.33839876590678e-11
8370	10025911455	6.7841946266332345	3.5783686804055085e-11	0.051759693843686	9.429647240462119e-11
151254	10025906056	6.812895784129573	3.591053373034965e-11	0.0308757686730655	9.462438887288752e-11
374387	10023809911	-6.836036953352385	3.591492389058241e-11	-0.0575068552586459	9.462960896311223e-11
136227	10025910692	-6.82044368367788	3.601818441041226e-11	-0.0352480450616067	9.489531716687863e-11
81932	10023832901	6.842555590656947	3.6160144266100985e-11	0.0469069959364734	9.525655333461517e-11
376412	10023810022	-7.019503962388235	3.6230378182082866e-11	-0.0948502120045155	9.542877053525214e-11
152006	10025902965	-6.817789619471979	3.6309987149989676e-11	-0.0295853033508855	9.563204339892682e-11
5763	10025912053	6.841226044627469	3.6334349833313325e-11	0.0967826289178631	9.568979292340244e-11
57228	10025907667	6.800190376995471	3.726267663360326e-11	0.0583476651268379	9.811489061321463e-11
146853	10025904870	6.798400525358836	3.730393856541736e-11	0.0303537165358639	9.82169519974257e-11
8482	10023813421	-6.798048830084146	3.7359100805078196e-11	-0.0419881443447154	9.835559514902626e-11
7107	10023821454	6.847431634132788	3.738175130896468e-11	0.0687734240335309	9.840863155392618e-11
170960	10023810359	-6.7996257545098535	3.790079909309791e-11	-0.0696970936384631	9.976835466940664e-11
9889	10025910718	-6.8366065182626565	3.804118079578577e-11	-0.0391031014969757	1.00124469422304e-10
27102	10026395138	-6.799608576761867	3.806044600378313e-11	-0.0327076388441156	1.0016846358650595e-10
51665	10023811880	-6.813239849676008	3.812980108932762e-11	-0.0317694901060854	1.0034427085547291e-10
8161	10023817495	-6.849333256812171	3.814576023332513e-11	-0.0335892922373207	1.0037954458129637e-10
60528	10023821751	-6.812887585406018	3.8198304561229836e-11	-0.0374743779148976	1.0051108006197135e-10
4891	10023818442	-6.797932165734616	3.823573981070293e-11	-0.0761455087979289	1.0059610581141401e-10
29072	10025908059	6.777498054929212	3.8366007239818776e-11	0.0291669132168	1.0091855383245708e-10
440587	10025917218	-6.904325054783738	3.877294186583e-11	-0.0474908758677579	1.0196847592995464e-10
168850	10023824373	6.819855884380338	3.891086732587525e-11	0.0558768993074501	1.0232435352215167e-10
137202	10023845579	6.790850339810733	3.9003073469053527e-11	0.022795168556657	1.0255996290429928e-10
7471	10025902499	-6.850784791231292	3.902358067092152e-11	-0.0337029272422395	1.0260701845865166e-10
128025	10025912580	6.769715553778333	3.92904408882483e-11	0.1047487195318676	1.0329486099259708e-10
60370	10025911466	-6.775853053210123	3.942899383103824e-11	-0.0510018805514033	1.0363830819614438e-10
9782	10023818629	-6.793581765863985	3.957236647149215e-11	-0.0529457587117033	1.0400820040148623e-10
200624	10025918042	6.850112718900714	3.9634661068914865e-11	0.0526221404682617	1.041510226643682e-10
283970	10025921820	-6.799467255869264	3.974961257190376e-11	-0.0528138685246496	1.0443911584109563e-10
89970	10023820512	-6.80330844306666	3.9792960290056596e-11	-0.060221936049188	1.0454601566406416e-10
375593	10025921591	6.783726208865455	3.996482126061631e-11	0.0689594002123566	1.0499051492221832e-10
286052	10023809833	-6.840877984264633	4.008767078295974e-11	-0.0412817595471419	1.0529212359442717e-10
6430	10023806339	-6.776412275983044	4.02511045261355e-11	-0.1137410851096979	1.0570725317821772e-10
6614	10025908207	-6.8554000771564265	4.0402460988699546e-11	-0.0446514375229032	1.0609055870286239e-10
51678	10023826341	6.778455262272552	4.1033038808812494e-11	0.0643266997501479	1.0771035581463208e-10
80328	10023838715	-6.806107561933523	4.147166368847371e-11	-0.0635958373094247	1.0883991111667316e-10
6257	10033668596	-6.78035328878728	4.1602794373869075e-11	-0.041073443647025	1.091694677670905e-10
3687	10025913127	6.79421635282804	4.197678796469809e-11	0.0616467690460396	1.1012878915664847e-10
90025	10025932330	-6.7745194845897805	4.2075238030121074e-11	-0.056811995979063	1.1037970679377249e-10
92196	10023811360	-6.831694834462715	4.222807047730855e-11	-0.0558302213965105	1.107732475189448e-10
93107	10025903238	-6.817689380049792	4.2608045536865664e-11	-0.0544210127176893	1.1175507670192864e-10
51205	10023826248	6.855759134647648	4.27311113046021e-11	0.0776440488338524	1.1206289571670251e-10
221477	10025911309	6.7684427401174	4.3166817735142645e-11	0.0550790744710108	1.131904272787986e-10
390940	10023816303	6.792833392412577	4.335978413936746e-11	0.051834510112369	1.1368882724747038e-10
8483	10023817450	6.854676056138338	4.3601363350920727e-11	0.043261619089363	1.1430698474432132e-10
4249	10025903636	-6.810880002923045	4.3667616500700855e-11	-0.0208719864515779	1.1447303631523824e-10
4869	10023812363	-6.846800072906885	4.374904479563073e-11	-0.0659664520158331	1.1467884414897398e-10
50511	10025904797	6.7556733084264415	4.396816468535415e-11	0.0608314445240949	1.1524552975048117e-10
25836	10023846997	6.805107505945508	4.4061997041894026e-11	0.0668334064130573	1.1548376885337944e-10
79903	10023850422	6.835026885701175	4.4355395312118994e-11	0.0371482949262543	1.1622948151167671e-10
5790	10023809123	6.791812885128993	4.4792149209804566e-11	0.056347043596692	1.1735047161749638e-10
201305	10025909113	6.841071007326163	4.513532026879745e-11	0.0810517796254129	1.1823376993386888e-10
283335	10025921347	6.793397508463414	4.530306886319608e-11	0.0580810340523669	1.1866528040453067e-10
6403	10023824861	6.745470120143895	4.544893557789176e-11	0.0528770288066632	1.190394205174094e-10
79591	10023848694	6.848544974695222	4.5456864305671086e-11	0.0629476316679432	1.1905224896164557e-10
4717	10023811219	-6.80601790205529	4.578806716641457e-11	-0.04632250222634	1.199036852197843e-10
392217	10025921276	-6.823373723807031	4.588097288041686e-11	-0.0384038991715861	1.2013896505184815e-10
285973	10025908651	6.783082714029094	4.6383937718212366e-11	0.0346167097978135	1.2143168978748212e-10
2191	10023808667	6.754526699921987	4.6864448477401335e-11	0.0639018423843044	1.226732997595845e-10
219699	10025912534	6.791633177914185	4.768789309512714e-11	0.0754330167258516	1.2479549905240467e-10
3120	10025907181	6.740102759946336	4.8053458480357395e-11	0.0415159864786439	1.2572702651758068e-10
10694	10023822994	-6.74831990106422	4.8083527740771565e-11	-0.0660335681051243	1.2579732047805433e-10
155051	10025905804	6.740818085865894	4.8582814660487845e-11	0.0637079353632011	1.2707817539215307e-10
137829	10025928133	-6.812181892471592	4.869087589232389e-11	-0.0438695841141052	1.2735235084901335e-10
