id,label,prob_omics
GSM1423987,1,0.96932226
GSM1423843,1,0.9617242
GSM1424075,1,0.974498
GSM1424204,0,0.0057412847
GSM1424181,0,0.0033980736
GSM1423840,1,0.9556682
GSM1424136,0,0.04400564
GSM1424014,1,0.9869402
GSM1424169,0,0.01822951
GSM1423852,1,0.9316521
GSM1424224,0,0.0064565917
GSM1423961,1,0.9907121
GSM1423876,1,0.922781
GSM1424100,0,0.019060029
GSM1424153,0,0.009594475
GSM1424172,0,0.015700148
GSM1423918,1,0.97807866
GSM1424155,0,0.014207719
GSM1424049,1,0.98274684
GSM1424105,0,0.011394879
GSM1423964,1,0.974373
GSM1423869,1,0.9814076
GSM1423836,1,0.9821162
GSM1424079,1,0.98670805
GSM1423943,1,0.98656636
GSM1424219,0,0.03630863
GSM1423898,1,0.99521905
GSM1424139,0,0.006354932
GSM1423829,1,0.98313636
GSM1424003,1,0.9789626
GSM1423798,1,0.9361013
GSM1423787,1,0.9884682
GSM1424027,1,0.9837159
GSM1424246,0,0.008776221
GSM1424000,1,0.95446837
GSM1424133,0,0.005536845
GSM1424108,0,0.010612638
GSM1424178,0,0.0013853544
GSM1423935,1,0.9790277
GSM1424059,1,0.9868947
GSM1423803,1,0.9353354
GSM1424022,1,0.98743814
GSM1424221,0,0.0058346754
GSM1423936,1,0.97392094
GSM1423894,1,0.9735511
GSM1424054,1,0.98106325
GSM1424051,1,0.9903654
GSM1423861,1,0.95818645
GSM1424064,1,0.9433394
GSM1424141,0,0.008960272
GSM1424137,0,0.010839385
GSM1424030,1,0.96793026
GSM1424180,0,0.0045494298
GSM1424042,1,0.9845674
GSM1424162,0,0.012744702
GSM1423878,1,0.9496691
GSM1423959,1,0.9862895
GSM1423892,1,0.9483029
GSM1423927,1,0.9812227
GSM1423880,1,0.9478293
GSM1423857,1,0.98413557
GSM1424094,0,0.0040163053
GSM1424112,0,0.020133382
GSM1423923,1,0.9865828
GSM1424066,1,0.9713964
GSM1424242,0,0.021086881
GSM1423839,1,0.9886304
GSM1424122,0,0.0056261607
GSM1423917,1,0.9769961
GSM1423855,1,0.97614235
GSM1424063,1,0.98260593
GSM1424227,0,0.004466535
GSM1424187,0,0.004960637
GSM1423992,1,0.9640594
GSM1423951,1,0.9523983
GSM1423996,1,0.989131
GSM1424111,0,0.011790109
GSM1424020,1,0.9449495
GSM1423812,1,0.98930055
GSM1424197,0,0.0012593366
GSM1424132,0,0.0076399106
GSM1424098,0,0.004265459
GSM1424071,1,0.9762864
GSM1424092,0,0.011649799
GSM1424234,0,0.008294049
GSM1423804,1,0.97526836
GSM1423953,1,0.9887313
GSM1423928,1,0.985846
GSM1423807,1,0.95078063
GSM1424011,1,0.9853476
GSM1423789,1,0.9668897
GSM1423934,1,0.97842467
GSM1423808,1,0.9102908
GSM1424121,0,0.0061550685
GSM1423913,1,0.98800373
GSM1423870,1,0.9925309
GSM1424041,1,0.932877
GSM1423999,1,0.9496477
GSM1424081,1,0.985044
GSM1424239,0,0.021407114
GSM1424193,0,0.0028689886
GSM1424214,0,0.0053935163
GSM1424087,1,0.9904661
GSM1423919,1,0.98234636
GSM1423794,1,0.99253243
GSM1424207,0,0.004406104
GSM1423846,1,0.96005154
GSM1424067,1,0.9427068
GSM1423799,1,0.95775944
GSM1424201,0,0.010150793
GSM1423809,1,0.8878773
GSM1423875,1,0.9809287
GSM1423997,1,0.9873374
GSM1424194,0,0.004156978
GSM1424018,1,0.97322965
GSM1424052,1,0.9800802
GSM1423888,1,0.98467433
GSM1423905,1,0.8747906
GSM1424069,1,0.9702138
GSM1424176,0,0.00948798
GSM1423916,1,0.94507533
GSM1423947,1,0.9930989
GSM1423831,1,0.9884547
GSM1423948,1,0.9770131
GSM1424085,1,0.9857507
GSM1424057,1,0.94499946
GSM1424035,1,0.9651391
GSM1423976,1,0.9292093
GSM1423896,1,0.9177912
GSM1423904,1,0.98132336
GSM1423866,1,0.9942887
GSM1423785,1,0.9879446
GSM1424086,1,0.94281906
GSM1423978,1,0.9745404
GSM1424016,1,0.9692267
GSM1423920,1,0.963168
GSM1423792,1,0.97690874
GSM1424009,1,0.9887399
GSM1423942,1,0.9505908
GSM1424220,0,0.022585416
GSM1424074,1,0.9682864
GSM1424048,1,0.9492037
GSM1424168,0,0.013745281
GSM1423856,1,0.9525242
GSM1424196,0,0.025834834
GSM1424144,0,0.014650117
GSM1423817,1,0.98866886
GSM1423963,1,0.9794384
GSM1423884,1,0.8007704
GSM1423909,1,0.9698747
GSM1424062,1,0.98353106
