probe	t	pval	logFC	p_adj
10023824049	-20.254327748281003	1.6294294938924507e-65	-0.526914046780789	4.961549652720578e-63
10023821695	-20.227328115013435	2.2992784466467695e-65	-0.3039928640006369	6.947358260329623e-63
10025917949	-20.408503821607976	3.255711309687495e-65	-0.3942952374824738	9.762163377444642e-63
10025928940	-20.198558080572965	3.5608633102304584e-65	-0.2671669887344894	1.0596265971655486e-62
10023819698	-20.173034939404513	3.892496005370934e-65	-0.31804531613784875	1.1496033315110548e-62
10023820992	20.53873165602686	5.4646320045204825e-65	0.42883178169276753	1.5944067342733076e-62
10023813116	21.421033101263934	5.47975837899431e-65	0.4712473774890035	1.5944067342733076e-62
10023829000	20.16397669862048	5.61807421663913e-65	0.2280526947523937	1.6226320237469489e-62
10025909575	-20.210283370306357	5.768320147322933e-65	-0.2879406374987672	1.6538658057433929e-62
10025906340	-20.671980387206677	7.186833850535487e-65	-0.11540996083418738	2.045643722094449e-62
10023809789	-20.301947984349557	8.01348145407495e-65	-0.3951290319398808	2.2645291475975834e-62
10025925563	-20.611845888728155	8.07648254535763e-65	-0.2593091649780974	2.2660302455831976e-62
10033668850	21.867207697381374	8.996550912315224e-65	0.48543696102689543	2.5062731903244114e-62
10025927295	-20.398531970431744	9.92495702542035e-65	-0.2213575954617218	2.745438816609235e-62
10025910371	-20.14522540621766	1.015054878474319e-64	-0.2068639715667352	2.7882066871658214e-62
10025903900	20.148720654467265	1.031597733772929e-64	0.14948302852866652	2.8139693737917117e-62
10023845001	-20.02491511780117	1.095924507653461e-64	-0.4390667757244504	2.968821700732962e-62
10025911465	-21.202771547783293	1.128175644952654e-64	-0.35654337378072737	3.0352561187493324e-62
10023845149	-20.82969946515614	1.1471480362433284e-64	-0.5140978702075611	3.065304412492377e-62
10025911523	-20.25021096038999	1.2103605357881483e-64	-0.31105170392069037	3.212362286875572e-62
10023830269	-20.09331759844205	1.2958025811497045e-64	-0.25333607196289293	3.4160486837288856e-62
10023811446	20.54083828742132	1.3665098222505629e-64	0.22039074987258475	3.5784337212001407e-62
10031919835	20.49722766387944	1.6057288471849728e-64	0.24207682363792893	4.177021795856009e-62
10025908612	20.75752200721536	1.717382269200664e-64	0.31717189000213686	4.438077337776453e-62
10025911300	20.53508937021192	1.9432237410422462e-64	0.1791972128978262	4.98887768288493e-62
10023806523	-20.377274158233263	2.2176291004433385e-64	-0.2476787023534354	5.656394225026905e-62
10025907526	20.435548015412618	2.232690884329464e-64	0.17221927469099238	5.65807083461041e-62
10023805854	-19.93921479138869	2.5929744431780288e-64	-0.2737339329435607	6.528976674873909e-62
10025910848	-20.31824669913073	2.6099675180870228e-64	-0.15197944457925416	6.529905994296704e-62
10025910394	21.15642350221756	2.8228286002463823e-64	0.5692890601673926	7.0177662922580955e-62
10023813455	-20.776541295314004	3.391990459330825e-64	-0.1515891695053832	8.379709763680176e-62
10025924185	-20.41107576944355	4.029562008633506e-64	-0.17937437379370866	9.892574731195258e-62
10025906783	-19.97510873677387	4.159248536610863e-64	-0.19253807246655025	1.0147533075656815e-61
10025911668	-19.88665183346243	4.188535839637351e-64	-0.30206704573028564	1.0155906653145377e-61
10025932293	-20.428633322512677	6.077004650187432e-64	-0.2899201190581056	1.4644462739838179e-61
10023834317	-19.850489892900406	6.335737952739707e-64	-0.27574392975161555	1.5174865047781444e-61
10023807654	-20.876674605956207	6.90166902265036e-64	-0.6036061343314362	1.638228353245905e-61
10025907615	-20.098411811277508	6.923266462291758e-64	-0.14046237711151632	1.638228353245905e-61
10025923870	19.83742281677835	8.279357107409017e-64	0.10135442248189151	1.9473841148444683e-61
10023834676	20.844337395337206	8.955830352274147e-64	0.3921284645780152	2.093500534779882e-61
10025902166	20.24132749866382	9.0071687978055e-64	0.18213926181035547	2.093500534779882e-61
10023810409	-21.983947152108286	9.232574680854369e-64	-0.5899392206350935	2.1300152650602575e-61
10023849901	-20.213407203489847	9.272724295450713e-64	-0.18560792815465993	2.1300152650602575e-61
10025912223	-20.114716047589326	1.3159275252715386e-63	-0.25284009060694557	3.0052112321317463e-61
10033668579	19.77439098381095	1.3369431726402873e-63	0.26880873851144443	3.035556521463034e-61
10025910067	-20.395828720534862	1.690138442180685e-63	-0.24962124147079556	3.815438966026282e-61
10025902303	19.952361945888306	1.829886835046902e-63	0.27534955478165196	4.1073117074652754e-61
10023850949	-19.75485269122339	1.841108584801439e-63	-0.29683837851538936	4.1090196142613934e-61
10023806207	-19.87292737655981	1.8846872820435084e-63	-0.3469790173431683	4.182515053032147e-61
10025915558	-20.779660742386742	1.9237983571557064e-63	-0.21095776033848368	4.2453258128694466e-61
10023827451	-20.419956953092072	2.0584669136246812e-63	-0.2742895020403123	4.517127394814384e-61
10023820124	-21.435035949004074	2.1336361844664045e-63	-0.22141529047926853	4.6560682958800205e-61
10023813180	-19.754698760973245	2.1980209031137094e-63	-0.34627336060969793	4.7700696726136185e-61
10023846133	-21.072641412408487	2.213122674075664e-63	-0.6014539242444217	4.776453771301763e-61
10023810792	-19.911956704559852	2.7112158286408934e-63	-0.28541373700205463	5.819484030000781e-61
10023815752	20.308872851002675	2.7542990934217365e-63	0.2936547305020053	5.879829803782925e-61
10025906470	-19.704204815982045	2.977853123579434e-63	-0.3139919235462256	6.32270652401082e-61
10023826070	-20.39201021744872	3.150128026632451e-63	-0.49229212591649885	6.652528434737779e-61
10023846869	-20.022839428262376	3.478927718820915e-63	-0.22702472717349906	7.307608598678371e-61
10023815511	-19.96215540768708	3.8259260821270627e-63	-0.41264584931091025	7.993743431167608e-61
10023828841	-19.947155342934778	3.915865356822999e-63	-0.17429256362206208	8.138369905608858e-61
10025907443	20.378653755057417	4.059520682663055e-63	0.18663734442660776	8.392524863947623e-61
10023808961	-19.644424281897173	5.51787791465035e-63	-0.12935613984994862	1.1347761491490352e-60
10023817284	-19.937730257533207	6.133909969788104e-63	-0.27386536695187536	1.254895747985816e-60
10023818441	-19.62226953079897	7.608765452026604e-63	-0.5314559234583317	1.5485611759357772e-60
10023814873	-19.66530644741865	8.02546119999572e-63	-0.2557501736504554	1.624949051215628e-60
10023827058	-20.07176167361206	9.277001313754952e-63	-0.29325378805866037	1.8687210851502284e-60
10025912671	20.855232285021774	1.005456145719022e-62	0.2338432358448716	2.015016194073632e-60
10025909364	20.131198244605	1.0610329130437679e-62	0.27938374313837067	2.1156026814395535e-60
10025907142	20.04903925640138	1.1500316071632668e-62	0.16483170033366654	2.281476844917834e-60
10025910417	-20.366414791450932	1.2068532528074075e-62	-0.33700229742050547	2.3821706417223603e-60
10023815069	-19.990951063200104	1.2748277531178721e-62	-0.4603997951294842	2.5037617071235006e-60
10025904484	19.847032691644802	1.2825997132023712e-62	0.21767230376707827	2.506493369880057e-60
10023827312	19.838935638128255	1.306491579109696e-62	0.13523657533730019	2.5405440211598446e-60
10023813196	-20.074419929326428	1.31341197582962e-62	-0.3310663370513684	2.5414198231816493e-60
10023821938	-19.701821792204843	1.3465719817174404e-62	-0.20473304476389562	2.592811149110836e-60
10023825256	19.922362638516567	1.3742066655570458e-62	0.1879042537264023	2.6331140401502813e-60
10025907919	20.327247132686637	1.5195333380375246e-62	0.08926887672806266	2.89744026786961e-60
10023841354	-20.306185833669755	1.5520897548000228e-62	-0.35742205261312926	2.945221525050478e-60
10023807788	-20.403004167946214	1.5710247092177227e-62	-0.5431064375684199	2.9668197393303916e-60
10025908172	20.907479802646726	1.6882770883180187e-62	0.14140453551938564	3.172991580341233e-60
10025906631	-20.373598451989874	1.7535052170829573e-62	-0.36997882553608386	3.2798897584294555e-60
10023807699	-19.72359402085469	1.9764738488639642e-62	-0.25641680835213276	3.67942619826429e-60
10025910242	-20.172013174668752	2.062315481648091e-62	-0.18911618095146066	3.8211203829781614e-60
10025912176	-19.863552356952013	2.1439623012034987e-62	-0.20194388819088968	3.953748318839128e-60
10023824689	-19.638511245368974	2.3555069013711478e-62	-0.20824536838169713	4.3213298428190775e-60
10025903487	-19.505965526205955	2.365290010707998e-62	-0.12724096250678035	4.3213298428190775e-60
10025926803	-19.765173011507773	2.5188955792225925e-62	-0.17885599332602425	4.580658257030715e-60
10025904843	-19.841734650514017	2.9214576062864795e-62	-0.23212748964675572	5.263984163987748e-60
10025905850	-20.11325566571516	2.9164775200534183e-62	-0.22579779786069445	5.263984163987748e-60
10025912172	19.845671259902442	3.10905968240711e-62	0.16625942174929115	5.576432160956679e-60
10023849410	-19.92780862346883	3.150944856275098e-62	-0.18291366996576536	5.625868816112993e-60
10023824938	-19.515992657811342	3.359861853328085e-62	-0.1862467286711773	5.959837032834784e-60
